Titular,Partido,Gobierno,Militar,regime,Categoría,start,end
José María Raygada y Gallo,Militar,Ramón Castilla (II),1.0,constitutional,FIN_GOBIERNO,1857-02-14,1858-05-13
Manuel Ortiz de Zevallos y García,,Ramón Castilla (II),,constitutional,CAMBIO_GABINETE,1858-05-13,1858-07-13
Miguel de San Román y Meza,Militar,Ramón Castilla (II),1.0,constitutional,CAMBIO_GABINETE,1858-07-13,1858-10-24
Miguel del Carpio y Melgar,,Ramón Castilla (II),,constitutional,CAMBIO_GABINETE,1858-10-28,1860-06-09
Juan Antonio Pezet Rodríguez,Militar,Ramón Castilla (II),1.0,constitutional,CAMBIO_GABINETE,1860-06-09,1862-01-01
Juan Antonio Ribeyro Estada,,Ramón Castilla (II),,constitutional,FIN_GOBIERNO,1862-01-01,1862-10-24
José Gregorio Paz Soldán y Ureta,,Miguel de San Román,,constitutional,MUERTE,1862-10-24,1863-04-03
Juan Antonio Ribeyro Estada,,Pedro Diez Canseco,,replaceVice,TRANSICION,1863-04-10,1863-08-05
Juan Antonio Ribeyro Estada,,Juan Antonio Pezet,,replaceVice,CENSURA_CONGRESO,1863-08-05,1864-08-10
Manuel Costas Arce,,Juan Antonio Pezet,,replaceVice,CAMBIO_GABINETE,1864-08-11,1864-10-14
José Allende,Militar,Juan Antonio Pezet,1.0,replaceVice,RENUNCIA_FORZADA,1864-10-14,1865-04-03
Manuel Ignacio de Vivanco,Militar,Juan Antonio Pezet,1.0,replaceVice,CAMBIO_GABINETE,1865-04-03,1865-07-12
Pedro José Calderón,,Juan Antonio Pezet,,replaceVice,GOLPE_ESTADO,1865-07-12,1865-11-06
Juan Antonio Ugarteche Posadas,Militar,Pedro Diez Canseco,1.0,replaceVice,TRANSICION,1865-09-26,1865-11-06
Francisco Javier Mariátegui,,Pedro Diez Canseco,,replaceVice,TRANSICION,1865-11-15,1865-11-28
Mariano Ignacio Prado Ochoa,Militar,Mariano Ignacio Prado (I),1.0,deFacto,REGIMEN_CAMBIA,1865-11-28,1867-02-15
Pedro José Tordoya,Clérigo,Mariano Ignacio Prado (I),0.0,deFacto,CENSURA_CONGRESO,1867-03-02,1867-04-26
Pedro Paz Soldán y Ureta,,Mariano Ignacio Prado (I),,deFacto,RENUNCIA_FORZADA,1867-06-03,1867-09-01
Luis La Puerta,Militar,Mariano Ignacio Prado (I),1.0,constitutional,TRANSICION,1867-09-01,1867-10-12
Pedro Paz Soldán y Ureta,,Mariano Ignacio Prado (I),,constitutional,RENUNCIA_FORZADA,1867-10-12,1868-01-08
Antonio Arenas Merino,,Pedro Diez Canseco,,replaceVice,TRANSICION,1868-01-22,1868-02-07
Antonio Gutiérrez de la Fuente,Militar,Pedro Diez Canseco,1.0,replaceVice,TRANSICION,1868-02-07,1868-08-02
Pedro Gálvez Egúsquiza,,José Balta,,constitutional,RENUNCIA,1868-08-02,1869-04-13
Juan Francisco Balta,Militar,José Balta,1.0,constitutional,RENUNCIA_SALUD,1869-04-13,1871-08-01
José Allende,Militar,José Balta,1.0,constitutional,CAMBIO_GABINETE,1871-08-02,1871-12-07
José Jorge Loayza,,José Balta,,constitutional,GOLPE_ESTADO,1871-12-07,1872-07-25
Juan Antonio Ribeyro Estada,,Mariano Herencia Zevallos,,replaceVice,TRANSICION,1872-07-27,1872-08-02
