Nombre,Partido,Presidente,fecha_start,fecha_end,cartera
José María Raygada y Gallo,Militar,Ramón Castilla (II),1857-02-14,1858-05-13,PCM
Manuel Ortiz de Zevallos y García,,Ramón Castilla (II),1858-05-13,1858-07-13,PCM
Miguel de San Román y Meza,Militar,Ramón Castilla (II),1858-07-13,1858-10-24,PCM
Miguel del Carpio y Melgar,,Ramón Castilla (II),1858-10-28,1860-06-09,PCM
Juan Antonio Pezet Rodríguez,Militar,Ramón Castilla (II),1860-06-09,1862-01-01,PCM
Juan Antonio Ribeyro Estada,,Ramón Castilla (II),1862-01-01,1862-10-24,PCM
José Gregorio Paz Soldán y Ureta,,Miguel de San Román,1862-10-24,1863-04-03,PCM
Juan Antonio Ribeyro Estada,,Pedro Diez Canseco,1863-04-10,1863-08-05,PCM
Juan Antonio Ribeyro Estada,,Juan Antonio Pezet,1863-08-05,1864-08-10,PCM
Manuel Costas Arce,,Juan Antonio Pezet,1864-08-11,1864-10-14,PCM
José Allende,Militar,Juan Antonio Pezet,1864-10-14,1865-04-03,PCM
Manuel Ignacio de Vivanco,Militar,Juan Antonio Pezet,1865-04-03,1865-07-12,PCM
Pedro José Calderón,,Juan Antonio Pezet,1865-07-12,1865-11-06,PCM
Juan Antonio Ugarteche Posadas,Militar,Pedro Diez Canseco,1865-09-26,1865-11-06,PCM
Francisco Javier Mariátegui,,Pedro Diez Canseco,1865-11-15,1865-11-28,PCM
Mariano Ignacio Prado Ochoa,Militar,Mariano Ignacio Prado (I),1865-11-28,1867-02-15,PCM
Pedro José Tordoya,Clérigo,Mariano Ignacio Prado (I),1867-03-02,1867-04-26,PCM
Pedro Paz Soldán y Ureta,,Mariano Ignacio Prado (I),1867-06-03,1867-09-01,PCM
Luis La Puerta,Militar,Mariano Ignacio Prado (I),1867-09-01,1867-10-12,PCM
Pedro Paz Soldán y Ureta,,Mariano Ignacio Prado (I),1867-10-12,1868-01-08,PCM
Antonio Arenas Merino,,Pedro Diez Canseco,1868-01-22,1868-02-07,PCM
Antonio Gutiérrez de la Fuente,Militar,Pedro Diez Canseco,1868-02-07,1868-08-02,PCM
Pedro Gálvez Egúsquiza,,José Balta,1868-08-02,1869-04-13,PCM
Juan Francisco Balta,Militar,José Balta,1869-04-13,1871-08-01,PCM
José Allende,Militar,José Balta,1871-08-02,1871-12-07,PCM
José Jorge Loayza,,José Balta,1871-12-07,1872-07-25,PCM
Juan Antonio Ribeyro Estada,,Mariano Herencia Zevallos,1872-07-27,1872-08-02,PCM
José Miguel Medina Elera,Militar,Manuel Pardo y Lavalle,1872-08-02,1873-09-03,PCM
José Eusebio Sánchez,,Manuel Pardo y Lavalle,1873-09-03,1875-02-01,PCM
Nicolás Freire González,,Manuel Pardo y Lavalle,1875-02-01,1876-08-02,PCM
Antonio Arenas Merino,,Mariano Ignacio Prado (II),1876-08-02,1876-08-26,PCM
Teodoro La Rosa,,Mariano Ignacio Prado (II),1876-08-26,1877-06-01,PCM
Juan Buendía y Noriega,Militar,Mariano Ignacio Prado (II),1877-06-04,1878-05-13,PCM
José Jorge Loayza,,Mariano Ignacio Prado (II),1878-06-18,1878-12-16,PCM
Manuel Yrigoyen Arias,,Mariano Ignacio Prado (II),1878-12-17,1879-05-19,PCM
Manuel de Mendiburu Bonet,Militar,Mariano Ignacio Prado (II),1879-05-19,1879-10-16,PCM
Manuel González de la Cotera,Militar,Mariano Ignacio Prado (II),1879-10-16,1879-12-23,PCM
Aurelio Denegri Valega,Partido Civil,Francisco García Calderón Landa,1881-03-12,1881-07-18,PCM
Camilo N. Carrillo Martínez,Marino,Francisco García Calderón Landa,1881-07-18,1881-11-06,PCM
Aurelio García y García,Marino,Nicolás de Piérola (provisorio),1881-10-30,1881-11-28,PCM
Juan Manuel Arbaiza,,Lizardo Montero Flores,1882-01-04,1882-09-04,PCM
Camilo N. Carrillo Martínez,Marino,Lizardo Montero Flores,1882-09-04,1883-01-10,PCM
Manuel Velarde Seoane,Militar,Lizardo Montero Flores,1883-01-10,1883-04-01,PCM
Mariano Nicolás Valcárcel,,Lizardo Montero Flores,1883-04-01,1883-10-01,PCM
Lorenzo Iglesias Pino de Arce,,Miguel Iglesias,1883-01-03,1883-08-27,PCM
Manuel Antonio Barinaga,,Miguel Iglesias,1883-08-27,1884-04-07,PCM
Mariano Castro Zaldívar,,Miguel Iglesias,1884-04-07,1885-05-14,PCM
José Joaquín Iglesias Pino de Arce,Militar,Miguel Iglesias,1885-05-14,1885-12-03,PCM
Antonio Arenas Merino,,Antonio Arenas Merino,1885-12-03,1886-06-03,PCM
Pedro Alejandrino del Solar Gabas,Partido Constitucional,Andrés Avelino Cáceres (I),1886-06-03,1886-10-06,PCM
José Nicolás de Araníbar y Llano,,Andrés Avelino Cáceres (I),1886-10-06,1886-11-20,PCM
Pedro Alejandrino del Solar Gabas,Partido Constitucional,Andrés Avelino Cáceres (I),1886-11-22,1887-08-22,PCM
Mariano Santos Álvarez Villegas,,Andrés Avelino Cáceres (I),1887-08-22,1887-09-12,PCM
Carlos María Elías de la Quintana,Partido Constitucional,Andrés Avelino Cáceres (I),1887-09-12,1887-10-05,PCM
Raymundo Morales Arias (interino),,Andrés Avelino Cáceres (I),1887-10-04,1887-11-08,PCM
Aurelio Denegri Valega,,Andrés Avelino Cáceres (I),1887-11-08,1889-03-08,PCM
José Mariano Jiménez Wald,,Andrés Avelino Cáceres (I),1889-03-08,1889-04-03,PCM
Pedro Alejandrino del Solar Gabas,Partido Constitucional,Andrés Avelino Cáceres (I),1889-04-04,1890-02-10,PCM
Manuel Yrigoyen Arias,,Andrés Avelino Cáceres (I),1890-02-11,1890-08-10,PCM
Mariano Nicolás Valcárcel Salazar,,Remigio Morales Bermúdez,1890-08-10,1891-07-24,PCM
Alberto Elmore Fernández de Córdoba (interino),,Remigio Morales Bermúdez,1891-07-25,1891-08-14,PCM
Federico Herrera,Partido Constitucional,Remigio Morales Bermúdez,1891-08-14,1891-08-24,PCM
Justiniano Borgoño Castañeda,Partido Constitucional,Remigio Morales Bermúdez,1891-08-24,1891-10-14,PCM
Federico Herrera (interino),Partido Constitucional,Remigio Morales Bermúdez,1891-10-14,1891-11-27,PCM
Federico Herrera,Partido Constitucional,Remigio Morales Bermúdez,1891-11-27,1892-04-14,PCM
Juan Ibarra y Ortiz (interino),Militar,Remigio Morales Bermúdez,1892-04-14,1892-05-02,PCM
Juan Ibarra y Ortiz,Militar,Remigio Morales Bermúdez,1892-05-02,1892-06-30,PCM
Carlos María Elías de la Quintana,Partido Constitucional,Remigio Morales Bermúdez,1892-06-30,1893-03-03,PCM
Manuel Velarde Seoane,Partido Constitucional,Remigio Morales Bermúdez,1893-03-03,1893-05-11,PCM
José Mariano Jiménez Wald,,Remigio Morales Bermúdez,1893-05-11,1894-04-01,PCM
Baltasar García Urrutia Muro,,Justiniano Borgoño Castañeda,1894-04-01,1894-08-10,PCM
Cesáreo Chacaltana Reyes,,Andrés Avelino Cáceres (II),1894-08-10,1894-11-16,PCM
Manuel Yrigoyen Arias,Partido Constitucional,Andrés Avelino Cáceres (II),1894-11-16,1895-03-21,PCM
Antonio Bentín y La Fuente,Partido Demócrata,Nicolás de Piérola,1895-09-08,1895-11-28,PCM
Manuel Antonio Barinaga,,Nicolás de Piérola,1895-11-30,1896-08-05,PCM
Manuel Pablo Olaechea Guerrero,Partido Demócrata,Nicolás de Piérola,1896-08-08,1897-11-03,PCM
Alejandro López de Romaña Alvizuri,Partido Demócrata,Nicolás de Piérola,1897-11-25,1897-12-23,PCM
Enrique de la Riva Agüero,,Nicolás de Piérola,1897-12-23,1898-05-13,PCM
José Jorge Loayza,,Nicolás de Piérola,1898-05-16,1899-09-08,PCM
Manuel María Gálvez Egúsquiza,,Eduardo López de Romaña,1899-09-08,1899-12-14,PCM
Enrique de la Riva Agüero,Partido Civil,Eduardo López de Romaña,1899-12-14,1900-08-30,PCM
Enrique Coronel-Zegarra Castro,Partido Demócrata,Eduardo López de Romaña,1900-08-30,1900-10-02,PCM
Domingo M. Almenara Butler,,Eduardo López de Romaña,1900-10-02,1901-09-11,PCM
Cesáreo Chacaltana Reyes,Partido Civil,Eduardo López de Romaña,1901-09-11,1902-08-09,PCM
Alejandro Deustua Escarza,,Eduardo López de Romaña,1902-08-09,1902-11-04,PCM
Eugenio Larrabure y Unanue,,Eduardo López de Romaña,1902-11-04,1903-09-08,PCM
José Pardo y Barreda,Partido Civil,Manuel Candamo Iriarte,1903-09-08,1904-04-18,PCM
José Pardo y Barreda,Partido Civil,Serapio Calderón Chirinos,1904-04-18,1904-05-14,PCM
Alberto Elmore Fernández,,Serapio Calderón Chirinos,1904-05-14,1904-09-24,PCM
Augusto Leguía,Partido Civil,José Pardo y Barreda (I),1904-09-24,1907-08-01,PCM
Agustín Tovar Aguilar,,José Pardo y Barreda (I),1907-08-01,1907-10-09,PCM
Carlos Alberto Washburn Salas,,José Pardo y Barreda (I),1907-10-09,1908-09-24,PCM
Eulogio I. Romero Salcedo,,Augusto Leguía,1908-09-24,1909-06-08,PCM
Rafael Villanueva Cortez,,Augusto Leguía,1909-06-08,1910-03-14,PCM
Javier Prado y Ugarteche,Partido Civil,Augusto Leguía,1910-03-14,1910-08-03,PCM
Germán Schreiber Waddington,Partido Civil,Augusto Leguía,1910-08-03,1910-10-21,PCM
José Salvador Cavero Ovalle,Partido Constitucional,Augusto Leguía,1910-11-03,1910-12-27,PCM
Enrique C. Basadre Stevenson,,Augusto Leguía,1910-12-27,1911-08-31,PCM
Agustín Guillermo Ganoza y Cavero,Partido Civil,Augusto Leguía,1911-08-31,1912-09-24,PCM
